,Date,Location,Gender
195,04/20/2010,West LA,F
196,04/20/2010,West LA,M
197,04/20/2010,West LA,M
198,04/21/2010,West LA,M
199,04/21/2010,West LA,F
200,04/24/2010,West LA,F
201,04/28/2010,West LA,M
202,04/29/2010,West LA,M
203,01/16/2010,Central,M
204,05/05/2010,West LA,M
205,05/05/2010,West LA,M
206,05/05/2010,West LA,F
207,05/05/2010,West LA,F
208,05/05/2010,West LA,M
209,05/10/2010,West LA,F
210,05/11/2010,West LA,M
211,05/12/2010,West LA,F
212,05/13/2010,West LA,M
213,05/14/2010,West LA,M
214,05/17/2010,West LA,M
215,05/25/2010,West LA,M
216,06/02/2010,West LA,F
217,06/02/2010,West LA,M
218,06/03/2010,West LA,M
219,06/04/2010,West LA,M
220,06/04/2010,West LA,M
221,06/05/2010,West LA,M
222,06/02/2010,West LA,F
223,06/24/2010,West LA,M
224,06/24/2010,West LA,M
225,06/29/2010,West LA,M
226,07/01/2010,West LA,M
227,07/08/2010,West LA,M
228,07/08/2010,West LA,M
229,07/08/2010,West LA,M
230,07/09/2010,West LA,M
231,07/09/2010,West LA,F
232,07/10/2010,West LA,M
233,01/17/2011,West LA,M
234,07/12/2010,West LA,F
235,01/17/2011,West LA,M
236,01/17/2011,West LA,M
237,01/18/2011,West LA,F
238,01/18/2011,West LA,F
239,08/17/2010,West LA,M
240,01/18/2011,West LA,M
241,01/18/2011,West LA,M
242,09/01/2010,West LA,M
243,01/17/2011,West LA,M
244,01/17/2011,West LA,M
245,01/17/2011,West LA,M
246,01/17/2011,West LA,M
247,01/17/2011,West LA,M
248,01/17/2011,West LA,M
249,01/17/2011,West LA,F
250,01/17/2011,West LA,M
251,09/21/2010,West LA,M
252,01/17/2011,West LA,M
253,01/17/2011,West LA,M
254,01/17/2011,West LA,M
255,01/17/2011,West LA,M
256,01/17/2011,West LA,M
257,10/29/2010,West LA,F
258,10/29/2010,West LA,M
259,01/17/2011,West LA,M
260,11/24/2010,West LA,M
261,11/27/2010,West LA,M
262,12/08/2010,West LA,M
263,01/17/2011,West LA,M
264,01/19/2010,West LA,M
265,02/25/2010,Van Nuys,M
266,02/25/2010,Van Nuys,M
267,02/26/2010,Van Nuys,M
268,05/09/2010,Van Nuys,M
269,02/04/2010,Van Nuys,M
270,02/17/2010,Van Nuys,M
271,02/27/2010,Van Nuys,M
272,01/19/2010,West LA,M
273,04/07/2010,Van Nuys,M
274,05/18/2010,Van Nuys,M
275,06/05/2010,Van Nuys,M
276,06/23/2010,Van Nuys,M
277,08/09/2010,Van Nuys,M
278,08/09/2010,Van Nuys,M
279,08/13/2010,Van Nuys,M
280,08/17/2010,Van Nuys,M
281,08/25/2010,Van Nuys,M
282,08/28/2010,Van Nuys,M
283,09/01/2010,Van Nuys,M
284,09/08/2010,Van Nuys,M
285,09/08/2010,Van Nuys,M
286,09/09/2010,Van Nuys,M
287,09/13/2010,Van Nuys,M
288,09/14/2010,Van Nuys,M
289,09/15/2010,Van Nuys,M
290,09/15/2010,Van Nuys,M
291,09/16/2010,Van Nuys,M
292,09/16/2010,Van Nuys,F
293,09/16/2010,Van Nuys,M
294,09/19/2010,Van Nuys,F
295,09/30/2010,Van Nuys,M
296,10/03/2010,Van Nuys,F
297,10/06/2010,Van Nuys,M
298,10/21/2010,Van Nuys,M
299,10/27/2010,Van Nuys,M
300,11/03/2010,Van Nuys,M
301,11/11/2010,Van Nuys,M
302,01/10/2010,Central,M
303,12/08/2010,Van Nuys,M
304,12/11/2010,Van Nuys,M
305,12/15/2010,Van Nuys,M
306,12/28/2010,Van Nuys,M
307,12/29/2010,Van Nuys,M
308,12/29/2010,Van Nuys,M
309,12/24/2010,West Valley,M
310,01/14/2010,West Valley,M
311,02/18/2010,West Valley,M
312,03/09/2010,West Valley,F
313,05/18/2010,West Valley,M
314,05/19/2010,West Valley,F
315,06/12/2010,West Valley,M
316,06/21/2010,West Valley,M
317,01/21/2010,Central,M
318,08/20/2010,West Valley,F
319,08/27/2010,West Valley,M
320,11/12/2010,West Valley,M
321,01/16/2010,Northeast,M
322,03/20/2010,Northeast,M
323,03/27/2010,Northeast,M
324,06/21/2010,Northeast,M
325,08/26/2010,Northeast,M
326,08/28/2010,Northeast,M
327,08/28/2010,Northeast,M
328,09/14/2010,Northeast,F
329,09/15/2010,Northeast,M
330,09/15/2010,Northeast,F
331,11/11/2010,Northeast,M
332,11/11/2010,Northeast,F
333,01/11/2010,Northeast,F
334,01/11/2010,Northeast,M
335,01/11/2010,Northeast,M
